CODIGO;TITULO;
142610;Especialista em desenvolvimento de cigarros;"INSERT INTO states (code, title) VALUES ('142610','Especialista em desenvolvimento de cigarros');"
142710;Tecnólogo em sistemas biomédicos;"INSERT INTO states (code, title) VALUES ('142710','Tecnólogo em sistemas biomédicos');"
142705;Gerente de projetos e serviços de manutenção;"INSERT INTO states (code, title) VALUES ('142705','Gerente de projetos e serviços de manutenção');"
201105;Bioengenheiro;"INSERT INTO states (code, title) VALUES ('201105','Bioengenheiro');"
201110;Biotecnologista;"INSERT INTO states (code, title) VALUES ('201110','Biotecnologista');"
201115;Geneticista;"INSERT INTO states (code, title) VALUES ('201115','Geneticista');"
201220;Especialista em instrumentação metrológica;"INSERT INTO states (code, title) VALUES ('201220','Especialista em instrumentação metrológica');"
201215;Especialista em ensaios metrológicos;"INSERT INTO states (code, title) VALUES ('201215','Especialista em ensaios metrológicos');"
201210;Especialista em calibrações metrológicas;"INSERT INTO states (code, title) VALUES ('201210','Especialista em calibrações metrológicas');"
201225;Especialista em materiais de referência metrológica;"INSERT INTO states (code, title) VALUES ('201225','Especialista em materiais de referência metrológica');"
201205;Pesquisador em metrologia;"INSERT INTO states (code, title) VALUES ('201205','Pesquisador em metrologia');"
202115;Tecnólogo em mecatrônica;"INSERT INTO states (code, title) VALUES ('202115','Tecnólogo em mecatrônica');"
202120;Tecnólogo em automação industrial;"INSERT INTO states (code, title) VALUES ('202120','Tecnólogo em automação industrial');"
202110;Engenheiro de controle e automação;"INSERT INTO states (code, title) VALUES ('202110','Engenheiro de controle e automação');"
202105;Engenheiro mecatrônico;"INSERT INTO states (code, title) VALUES ('202105','Engenheiro mecatrônico');"
203005;Pesquisador em biologia ambiental;"INSERT INTO states (code, title) VALUES ('203005','Pesquisador em biologia ambiental');"
203010;Pesquisador em biologia animal;"INSERT INTO states (code, title) VALUES ('203010','Pesquisador em biologia animal');"
203015;Pesquisador em biologia de microorganismos e parasitas;"INSERT INTO states (code, title) VALUES ('203015','Pesquisador em biologia de microorganismos e parasitas');"
203020;Pesquisador em biologia humana;"INSERT INTO states (code, title) VALUES ('203020','Pesquisador em biologia humana');"
203025;Pesquisador em biologia vegetal;"INSERT INTO states (code, title) VALUES ('203025','Pesquisador em biologia vegetal');"
203115;Pesquisador em física;"INSERT INTO states (code, title) VALUES ('203115','Pesquisador em física');"
